VLAARDINGEN,VLAARDINGEN,1,FIETS,MONTEGO,BRUIN,AVANTGARDE
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,2,BROMFIETS,GILERA,MEERKLEURIG,GILERA RUNNER 4
CAPELLE,CAPELLE AAN DEN IJSSEL,9,BROMFIETS,KYMCO,MEERKLEURIG,PR 50 A
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,1,FIETS,GITANE,WIT,FITZ ROY 1.0
BARENDRECHT,BARENDRECHT,1,SNORFIETS,PIAGGIO,WIT,C25
VLAARDINGEN,VLAARDINGEN,1,FIETS,ONBEKEND,ZWART,NULL
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,1,FIETS,BERGWERK,ZWART,MERK BERGMAN, T
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,GAZELLE,GRIJS,AGILE GOLDLINE
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,GAZELLE,GRIJS,AGILE
RIDDERKERK,RIDDERKERK,1,FIETS,RALEIGH,ZWART,YOUNG MS. GRACE
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,1,FIETS,TREK,ZILVERKLEURIG,T300
ALEXANDER ZUID,ROTTERDAM,1,FIETS,BATAVUS,ONBEKEND,LIVE-CL HN3 EMA
SCHIEDAM,SCHIEDAM,1,FIETS,SPARTA,BLAUW,ATHOS
ALBRANDSWAARD,RHOON,1,FIETS,ONBEKEND,BLAUW,MOUNTAINBIKE
CROOSWIJK,ROTTERDAM,1,FIETS,GAZELLE,BLAUW,PRIMEUR TK 3
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,SPARTA,MEERKLEURIG,ION
STAD,ROTTERDAM,1,FIETS,ONBEKEND,MEERKLEURIG,NULL
ALEXANDER ZUID,ROTTERDAM,1,BROMFIETS,APRILIA,ONBEKEND,TE
GOEREE-OVERFLAKKEE,DIRKSLAND,1,FIETS,ONBEKEND,WIT,NULL
ALEXANDER ZUID,ROTTERDAM,1,FIETS,UNION,BLAUW,EXPRESS ALL ROU
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,RALEIGH,BLAUW,STRIKE DT3
SPIJKENISSE,SPIJKENISSE,1,FIETS,BATAVUS,ONBEKEND,LENTO-DELUXE DN
RIDDERKERK,RIDDERKERK,1,FIETS,BATAVUS,ONBEKEND,GENOVA BN8 TITA
ALEXANDER NOORD,ROTTERDAM,1,FIETS,SPARTA,ONBEKEND,NEO  D48 N8 QUI
MARCONIPLEIN,ROTTERDAM,1,FIETS,ONBEKEND,GRIJS,?
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,BATAVUS,BLAUW,STACCATO
LANSINGERLAND,BERKEL EN RODENRIJS,1,FIETS,GAZELLE,ONBEKEND,CHAMONIX ARTMAP
MAASSLUIS,MAASSLUIS,1,FIETS,BATAVUS,ZILVERKLEURIG,WEEKEND
VLAARDINGEN,VLAARDINGEN,1,FIETS,VIKING,ZILVERKLEURIG,0
ALEXANDER NOORD,ROTTERDAM,1,BROMFIETS,PIAGGIO,GROEN,C38
MARCONIPLEIN,ROTTERDAM,1,FIETS,BATAVUS,GRIJS,0
GOEREE-OVERFLAKKEE,MIDDELHARNIS,1,FIETS,ONBEKEND,GOUDKLEURIG,HEREN 'OPELFIET
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,BROMFIETS,BERINI,WIT,25 SIXTIES
STAD,ROTTERDAM,1,FIETS,GIANT,ZILVERKLEURIG,TWIST GO POWER
VLAARDINGEN,VLAARDINGEN,1,FIETS,BATAVUS,ONBEKEND,LENTO-DELUXE HN
STAD,ROTTERDAM,1,FIETS,ONBEKEND,ROOD,OPOEFIETS
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,BROMFIETS,JIAJUE,GROEN,JJ50QT-4
VLAARDINGEN,VLAARDINGEN,1,FIETS,RALEIGH,MEERKLEURIG,ELAN STADSFIETS
SCHIEDAM,SCHIEDAM,1,FIETS,BSP,ZWART,SEINE, MOEDERFI
ALEXANDER ZUID,ROTTERDAM,1,FIETS,RANGER,GRIJS,COMFORT CRUISER
VLAARDINGEN,VLAARDINGEN,1,SNORFIETS,TOMOS,BRUIN,QUADRO E-START
SCHIEDAM,SCHIEDAM,1,FIETS,BATAVUS,GRIJS,HERENFIETS WEEK
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,1,FIETS,GAZELLE,GRIJS,NULL
NW WESTEN/MIDDELLAND,ROTTERDAM,1,BROMFIETS,KYMCO,ONBEKEND,AGILITY 50
MARCONIPLEIN,ROTTERDAM,1,SCOOTER,PEUGEOT,ORANJE,VIVACITY
SCHIEDAM,SCHIEDAM,1,FIETS,0,BLAUW,0
CAPELLE,CAPELLE AAN DEN IJSSEL,11,FIETS,GAZELLE,ZILVERKLEURIG,XANTA H57 T3
KRIMPEN,KRIMPEN AAN DEN IJSSEL,2,FIETS,0,GRIJS,0
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,CORTINA,ZILVERKLEURIG,U2
CAPELLE,ROTTERDAM,2,BROMFIETS,PIAGGIO,BLAUW,C25
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,VANMOOF,ZILVERKLEURIG,5 - OTT
KRIMPEN,KRIMPEN AAN DEN IJSSEL,2,FIETS,SPARTA,ROOD,PULSER
VLAARDINGEN,VLAARDINGEN,2,FIETS,GAZELLE,ZILVERKLEURIG,0
KRALINGEN,ROTTERDAM,1,FIETS,LIMIT CLASSIC,ZWART,OMAFIETS
BARENDRECHT,BARENDRECHT,2,FIETS,GAZELLE,BLAUW,CHAMONIX
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,POINTER,BLAUW,NULL
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,PUCH,ZWART,PRESTIGE
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,SCOOTER,TGB,ONBEKEND,RAPIDO SCORZA 2
CAPELLE,CAPELLE AAN DEN IJSSEL,2,FIETS,GAZELLE,GRIJS,ORANGE PLUS
VLAARDINGEN,VLAARDINGEN,1,FIETS,ALTRA,0,DISCOVERY
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,BROMFIETS,SYM,ONBEKEND,BS05W
BINNENROTTE/OUDE HAVEN,ROTTERDAM,1,FIETS,BATAVUS,ZILVERKLEURIG,0
BINNENROTTE/OUDE HAVEN,ROTTERDAM,2,FIETS,FLAMINGO,MEERKLEURIG,0
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,MONTEGO,BLAUW,AVANTGARD +
MAASSLUIS,MAASSLUIS,2,FIETS,TREK,ZWART,1853042329
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,2,FIETS,POPAL,BLAUW,COMFORTAS
GOEREE-OVERFLAKKEE,MIDDELHARNIS,2,FIETS,NOSTALGIE,ZWART,OPOEFIETS
VLAARDINGEN,VLAARDINGEN,6,BROMFIETS,YAMAHA,BLAUW,SH 50
ALEXANDER NOORD,ROTTERDAM,2,FIETS,GAZELLE,ONBEKEND,ORANGE SBY ORAN
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,PUCH,GROEN,CITYPLUS
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,MONTEGO,BLAUW,AVANTGARD D
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,8,FIETS,UNION,ROOD,OASE
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,2,BROMFIETS,GENERIC,ONBEKEND,B05
VLAARDINGEN,VLAARDINGEN,2,FIETS,GAZELLE,MEERKLEURIG,IMPALA
SPIJKENISSE,SPIJKENISSE,1,FIETS,MONTEGO,PAARS,SOCIETY HR
SPIJKENISSE,SPIJKENISSE,2,FIETS,GAZELLE,WIT,CHAMONIX LTD
STAD,ROTTERDAM,1,FIETS,GAZELLE,GRIJS,MARBELLA INNERG
ALEXANDER NOORD,ROTTERDAM,2,BROMFIETS,EVADER,WIT,EV100S
HELLEVOETSLUIS,HELLEVOETSLUIS,1,BROMFIETS,PIAGGIO,ZWART,C25
OUDE WESTEN,ROTTERDAM,1,FIETS,GIANT,BLAUW,COSMO RS2 LOW I
RIDDERKERK,RIDDERKERK,2,FIETS,BATAVUS,ZILVERKLEURIG,WEEKEND
ALBRANDSWAARD,RHOON,2,FIETS,GIANT,BLAUW,URBAN
VLAARDINGEN,VLAARDINGEN,1,FIETS,GAZELLE,BRONSKLEURIG,NULL
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,5,BROMFIETS,KYMCO,ONBEKEND,AGILITY 50
ALEXANDER ZUID,ROTTERDAM,2,FIETS,GAZELLE,BLAUW,ORANGE LIMITED
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,12,BROMFIETS,GILERA,MEERKLEURIG,GILERA RUNNER 4
STAD,ROTTERDAM,2,FIETS,LOCOMOTIEF,BLAUW,FASHION
ALEXANDER ZUID,ROTTERDAM,2,FIETS,GAZELLE,BLAUW,SAPHIR
MAASSLUIS,MAASSLUIS,2,FIETS,UNION,BLAUW,?
LANSINGERLAND,BERKEL EN RODENRIJS,2,FIETS,BATAVUS,WIT,MAMBO
STAD,ROTTERDAM,2,FIETS,GAZELLE,BLAUW,NULL
ALEXANDER ZUID,ROTTERDAM,2,FIETS,GAZELLE,ZWART,ORANGE SBY ORAN
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,GAZELLE,MEERKLEURIG,ORANGE LIMITED
CAPELLE,CAPELLE AAN DEN IJSSEL,2,FIETS,BATAVUS,BLAUW,SPORTMODEL
HELLEVOETSLUIS,HELLEVOETSLUIS,2,FIETS,LIMIT CLASSIC,ZWART,OMA
ALEXANDER ZUID,ROTTERDAM,2,FIETS,GAZELLE,GROEN,CHAMONIX PURE C
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,BATAVUS,ZILVERKLEURIG,DIVA-D N3 QUICK
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,BATAVUS,BLAUW,MAMBO-DELUXE DN
SCHIEDAM,SCHIEDAM,2,FIETS,GIANT,GRIJS,FUSION DX GTS F
BARENDRECHT,BARENDRECHT,2,BROMFIETS,GILERA,ONBEKEND,C46
CROOSWIJK,ROTTERDAM,10,FIETS,BATAVUS,BRUIN,NULL
MARCONIPLEIN,ROTTERDAM,1,FIETS,BATAVUS,BLAUW,NULL
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,2,FIETS,AVENUE,GRIJS,0
SCHIEDAM,SCHIEDAM,2,FIETS,GAZELLE,ONBEKEND,CHAMONIX TR.KAB
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,GAZELLE,BLAUW,NULL
VLAARDINGEN,VLAARDINGEN,2,FIETS,BATAVUS,ONBEKEND,CRESCENDO DN7 C
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,2,FIETS,TOEVOEGEN,BLAUW,GEEN IDEE (BETR
ALBRANDSWAARD,RHOON,2,FIETS,GAZELLE,ZWART,ECLIPSE  L.E.
VLAARDINGEN,VLAARDINGEN,2,BROMFIETS,PEUGEOT,BLAUW,VIVACITY
BINNENROTTE/OUDE HAVEN,ROTTERDAM,2,FIETS,SPARTA,BLAUW,ITHAKA
CAPELLE,CAPELLE AAN DEN IJSSEL,2,FIETS,GAZELLE,CHROOMKLEURIG,ORANGE
VLAARDINGEN,VLAARDINGEN,2,FIETS,SPARTA,GRIJS,NULL
SCHIEDAM,SCHIEDAM,2,FIETS,GAZELLE,BLAUW,TOULOUSE TROMME
KRALINGEN,ROTTERDAM,1,BROMFIETS,GILERA,ONBEKEND,GILERA RUNNER 4
STAD,ROTTERDAM,2,FIETS,UNION,BLAUW,ORIBI
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,TOEVOEGEN,ROOD,TWEELINGFIETS
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,RANGER,GRIJS,NULL
ALEXANDER NOORD,ROTTERDAM,1,FIETS,SPARTA,BLAUW,XCESS
BRIELLE/WESTVOORNE,OOSTVOORNE,2,FIETS,BSP,ZWART,OPA FIETS DUBBE
ALEXANDER NOORD,ROTTERDAM,2,FIETS,GAZELLE,ROOD,PARIS PURE
CAPELLE,CAPELLE AAN DEN IJSSEL,2,FIETS,GAZELLE,GRIJS,ORANGE PLUS VV
VLAARDINGEN,VLAARDINGEN,2,FIETS,ONBEKEND,BLAUW,NULL
MARCONIPLEIN,ROTTERDAM,2,SNORFIETS,TOMOS,ONBEKEND,A3
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,2,FIETS,UNION,BLAUW,LUXOR
ALEXANDER ZUID,ROTTERDAM,2,FIETS,ONBEKEND,WIT,MTB
BARENDRECHT,BARENDRECHT,2,FIETS,GAZELLE,ZWART,STADSFIETS
CAPELLE,CAPELLE AAN DEN IJSSEL,2,FIETS,ONBEKEND,ZWART,INTERNATIONAL
SPIJKENISSE,SPIJKENISSE,2,FIETS,AVANCER,CREME,TREND CITY
SCHIEDAM,SCHIEDAM,2,FIETS,GAZELLE,BEIGE,ORANGE PLUS ORA
ALEXANDER NOORD,ROTTERDAM,2,BROMFIETS,TOMOS,BLAUW,A3
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,CORTINA,ZWART,TRANSPORT
KRALINGEN,ROTTERDAM,2,FIETS,GAZELLE,ZWART,PARIS PLUS
STAD,ROTTERDAM,2,FIETS,GAZELLE,ONBEKEND,ARTMAP01 TOEGEV
ALEXANDER ZUID,ROTTERDAM,8,BROMFIETS,KYMCO,PAARS,PR 50 A
OUDE WESTEN,ROTTERDAM,2,FIETS,BATAVUS,ZWART,BUB
SPIJKENISSE,SPIJKENISSE,8,BROMFIETS,PEUGEOT,ZWART,VIVACITY
BARENDRECHT,BARENDRECHT,2,FIETS,GAZELLE,GRIJS,CHAMONIX
LANSINGERLAND,BERGSCHENHOEK,2,FIETS,SPARTA,ROZE,AMPHION
CAPELLE,CAPELLE AAN DEN IJSSEL,2,FIETS,CUMBERLAND,GRIJS,DISTRICT N3 D49
HOEK VAN HOLLAND,HOEK VAN HOLLAND,2,FIETS,POINTER,ZWART,GLORIE
KRALINGEN,ROTTERDAM,10,BROMFIETS,KYMCO,ONBEKEND,PR 50 A
ALEXANDER NOORD,ROTTERDAM,2,FIETS,BATAVUS,ONBEKEND,BLOCKBUSTER-G N
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,RANGER,ZWART,OMAFIETS
ALBRANDSWAARD,POORTUGAAL,2,FIETS,BATAVUS,BRUIN,NULL
HOOGVLIET/PERNIS,PERNIS ROTTERDAM,2,FIETS,GAZELLE,GRIJS,LAGUNA ARTMAP01
KRALINGEN,ROTTERDAM,2,FIETS,CORTINA,ZWART,ROOTS S1 2011
CROOSWIJK,ROTTERDAM,7,SNORFIETS,SPARTA,GROEN,SPARTA MET
LANSINGERLAND,BERKEL EN RODENRIJS,2,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,BATAVUS,GOUDKLEURIG,0
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,2,BROMFIETS,GILERA,MEERKLEURIG,TYPHOON
BRIELLE/WESTVOORNE,BRIELLE,2,BROMFIETS,YAMAHA,ZWART,NEO'S
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,BROMFIETS,PIAGGIO,ONBEKEND,C38
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,2,FIETS,UNION,BLAUW,STADSFIETS
ALEXANDER ZUID,ROTTERDAM,1,BROMFIETS,KYMCO,ONBEKEND,AGILITY 50
OUDE WESTEN,ROTTERDAM,1,FIETS,UNION,ZILVERKLEURIG,UNICA
MAASHAVEN,ROTTERDAM,2,FIETS,PHOENIX,BLAUW,NULL
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,2,FIETS,TREK,BLAUW,6500
BINNENROTTE/OUDE HAVEN,ROTTERDAM,2,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE LIMITED
STAD,ROTTERDAM,2,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,BATAVUS,BLAUW,P.BIKE SPIRIT N
SPIJKENISSE,SPIJKENISSE,2,SNORFIETS,TOMOS,ZWART,A35-HDA
VLAARDINGEN,VLAARDINGEN,2,FIETS,GIANT,ZILVERKLEURIG,ROAD BIKE
SCHIEDAM,SCHIEDAM,2,FIETS,SPARTA,ZWART,ION L  TR. H54
VLAARDINGEN,VLAARDINGEN,2,FIETS,ROSSLER,WIT,RO CRUISER
VLAARDINGEN,VLAARDINGEN,2,BROMFIETS,TOMOS,ZWART,A35 (B/ DISCO/
MARCONIPLEIN,ROTTERDAM,2,FIETS,BATAVUS,BLAUW,CRESCENDO SPIRI
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,2,NULL,NULL,NULL,NULL
ALEXANDER ZUID,ROTTERDAM,1,FIETS,ONBEKEND,ORANJE,NULL
VLAARDINGEN,VLAARDINGEN,2,FIETS,AVANCER,WIT,MALIBU D53 N3
SCHIEDAM,SCHIEDAM,2,BROMFIETS,PIAGGIO,WIT,C25
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,GAZELLE,ONBEKEND,ARTMAP01 TOEGEV
BINNENROTTE/OUDE HAVEN,ROTTERDAM,2,SNORFIETS,FOSTI,CREME,FT50QT-E.25
LANSINGERLAND,BERKEL EN RODENRIJS,2,FIETS,BATAVUS,ONBEKEND,0
VLAARDINGEN,VLAARDINGEN,2,FIETS,ONBEKEND,ROZE,SILAN
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,GAZELLE,ONBEKEND,ORANGE SBY ORAN
ALEXANDER ZUID,ROTTERDAM,3,FIETS,GAZELLE,ZILVERKLEURIG,CHAMONIX NEX 8
ROZENBURG,ROZENBURG ZH,2,FIETS,BATAVUS,WIT,DAMES
VLAARDINGEN,VLAARDINGEN,2,FIETS,RALEIGH,BLAUW,PRIORITY
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,12,BROMFIETS,GILERA,ONBEKEND,ECO CITTA
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,BROMFIETS,TOMOS,MEERKLEURIG,A3
OUDE WESTEN,ROTTERDAM,2,BROMFIETS,PIAGGIO,ONBEKEND,C38
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,GAZELLE,BRUIN,NULL
MARCONIPLEIN,ROTTERDAM,2,FIETS,SPARTA,BLAUW,NULL
SCHIEDAM,SCHIEDAM,2,BROMFIETS,CPI,BRUIN,JR
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,BATAVUS,ZWART,FAVORIET
BARENDRECHT,BARENDRECHT,2,FIETS,UNION,CREME,NULL
RIDDERKERK,RIDDERKERK,2,FIETS,BATAVUS,BLAUW,BARCELONA
VLAARDINGEN,VLAARDINGEN,2,FIETS,GAZELLE,MEERKLEURIG,ORANGE PLUS VV
LANSINGERLAND,BERKEL EN RODENRIJS,2,FIETS,SPARTA,ZWART,ITHAKA D55 N8 Z
HELLEVOETSLUIS,HELLEVOETSLUIS,2,FIETS,JOHNNY LOCO,ZWART,BEACHCRUISER
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,2,FIETS,MONTEGO,BLAUW,AVANT GARD
SCHIEDAM,SCHIEDAM,2,FIETS,GAZELLE,GRIJS,NULL
VLAARDINGEN,VLAARDINGEN,2,FIETS,GAZELLE,WIT,CHAMONIX PLUS C
KRALINGEN,ROTTERDAM,2,FIETS,BATAVUS,ZILVERKLEURIG,BOLOGNA
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,2,FIETS,GAZELLE,ZWART,PARIS PLUS D57
HOOGVLIET/PERNIS,PERNIS ROTTERDAM,8,FIETS,MONTEGO,GEEL,AVANTGARDIST
KRALINGEN,ROTTERDAM,2,FIETS,UNION,WIT,POSTCODE LOTERI
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,PALOMA,GROEN,PULSE
KRALINGEN,ROTTERDAM,2,FIETS,BATAVUS,ONBEKEND,O.DUTCH-D R  ZW
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,2,FIETS,UNION,ZILVERKLEURIG,VITRA D53'06
ALEXANDER ZUID,ROTTERDAM,1,FIETS,GIANT,GRIJS,ROAD BIKE
LANSINGERLAND,BERGSCHENHOEK,2,FIETS,GAZELLE,WIT,MONTREUX L.E. M
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,BSP,ZWART,EXPORT (OMAFIET
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,1,SNORFIETS,KYMCO,ZWART,SA10
ALEXANDER ZUID,ROTTERDAM,12,BROMFIETS,GILERA,ZWART,0
KRALINGEN,ROTTERDAM,2,FIETS,BATAVUS,WIT,OLD DUTCH
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,2,FIETS,GAZELLE,WIT,ORANGE
MARCONIPLEIN,ROTTERDAM,2,BROMFIETS,TGB,MEERKLEURIG,BK1
ALEXANDER ZUID,ROTTERDAM,2,FIETS,ONBEKEND,ZWART,0
ALEXANDER ZUID,ROTTERDAM,2,FIETS,MONTEGO,BLAUW,DIVINE
ALBRANDSWAARD,POORTUGAAL,2,FIETS,BATAVUS,ONBEKEND,WEEKEND-H N8 ZI
STAD,ROTTERDAM,2,FIETS,HEMA,BLAUW,ON THE ROAD
ALBRANDSWAARD,POORTUGAAL,2,FIETS,TREK,GRIJS,24 VERSNELLINGE
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,2,BROMFIETS,YAMAHA,MEERKLEURIG,SA14
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,2,FIETS,HOLLANDIA,BRUIN,SPORT
ALBRANDSWAARD,POORTUGAAL,2,FIETS,ONBEKEND,BLAUW,D55 NB+VV
KRALINGEN,ROTTERDAM,2,FIETS,GAZELLE,BLAUW,PRIMEUR
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,BATAVUS,GROEN,BATAVOUW
BRIELLE/WESTVOORNE,BRIELLE,2,FIETS,GIANT,GROEN,NULL
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,2,BROMFIETS,GILERA,ONBEKEND,GILERA RUNNER 4
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,2,FIETS,PEUGEOT,WIT,MODEL: TENNIS -
SPIJKENISSE,SPIJKENISSE,2,FIETS,GAZELLE,BLAUW,NULL
BINNENROTTE/OUDE HAVEN,ROTTERDAM,2,FIETS,GAZELLE,ZWART,PARIS PLUS PARI
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,MONTEGO,MEERKLEURIG,AVANTGARD
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,BROMFIETS,IVA,ZWART,RA9011
CAPELLE,CAPELLE AAN DEN IJSSEL,2,FIETS,ONBEKEND,GROEN,OMA FIETS
KRALINGEN,ROTTERDAM,2,FIETS,ONBEKEND,ZWART,ONBEKEND
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,2,FIETS,GAZELLE,ZILVERKLEURIG,ECLIPSE
HELLEVOETSLUIS,HELLEVOETSLUIS,2,FIETS,BATAVUS,ONBEKEND,WEEKEND HN8 DIM
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,BSP,ZWART,0
ALEXANDER NOORD,ROTTERDAM,2,SCOOTER,YAMAHA,ONBEKEND,SA21
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,BATAVUS,ZWART,SHIMAVO
SCHIEDAM,SCHIEDAM,2,FIETS,GAZELLE,MEERKLEURIG,GRENOBLE
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,GAZELLE,ZWART,NL
BRIELLE/WESTVOORNE,OOSTVOORNE,9,BROMFIETS,TOEVOEGEN,ZILVERKLEURIG,CITYFLEX
ALBRANDSWAARD,POORTUGAAL,7,BROMFIETS,PEUGEOT,MEERKLEURIG,FB50QT-6A
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,MONTEGO,GROEN,AVANTGARD
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,BATAVUS,ONBEKEND,P.BIKE-SPIR UN3
MAASHAVEN,ROTTERDAM,9,BROMFIETS,DERBI,ROOD,PREDATOR
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,2,FIETS,MONTEGO,MEERKLEURIG,URBAN
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,ONBEKEND,GRIJS,NULL
ROZENBURG,ROZENBURG ZH,2,FIETS,SPARTA,ONBEKEND,MARATHON 7.0 H5
HELLEVOETSLUIS,HELLEVOETSLUIS,2,FIETS,BATAVUS,GROEN,STABILO
CAPELLE,CAPELLE AAN DEN IJSSEL,2,FIETS,ONBEKEND,WIT,NULL
MARCONIPLEIN,ROTTERDAM,2,FIETS,POINTER,BLAUW,UNICA 54
MARCONIPLEIN,ROTTERDAM,2,FIETS,TARGET,ZILVERKLEURIG,WASHINGTON N7
STAD,ROTTERDAM,2,FIETS,ONBEKEND,BLAUW,NULL
KRALINGEN,ROTTERDAM,2,FIETS,RABOBANK,ORANJE,OMAFIETS BIJ RD
OVERSCHIE,ROTTERDAM,2,FIETS,POINTER,ZWART,NULL
ALEXANDER NOORD,ROTTERDAM,2,FIETS,GIANT,BLAUW,NULL
BRIELLE/WESTVOORNE,BRIELLE,2,FIETS,ONBEKEND,ZWART,OZ 6 26''
VLAARDINGEN,VLAARDINGEN,2,FIETS,GIANT,WIT,METRO
LANSINGERLAND,BERKEL EN RODENRIJS,2,FIETS,AVANCER,MEERKLEURIG,COMFORT
VLAARDINGEN,VLAARDINGEN,2,FIETS,GAZELLE,ONBEKEND,CHAMONIX PURE C
BARENDRECHT,BARENDRECHT,2,FIETS,BATAVUS,ONBEKEND,0
ALEXANDER ZUID,ROTTERDAM,2,FIETS,GAZELLE,ONBEKEND,ESPRIT TROMM.KA
ROZENBURG,ROZENBURG ZH,2,FIETS,BATAVUS,GRIJS,0
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,GAZELLE,ZWART,SCOOTERBIKE
SPIJKENISSE,SPIJKENISSE,5,SNORFIETS,SPARTA,GROEN,SPARTA MET
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,2,FIETS,HEMA,ZWART,0
LANSINGERLAND,BERKEL EN RODENRIJS,2,FIETS,BATAVUS,ZWART,0
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,BROMFIETS,PUCH,ZWART,ZIP
ALEXANDER ZUID,ROTTERDAM,2,FIETS,GAZELLE,BLAUW,NULL
SPIJKENISSE,SPIJKENISSE,2,FIETS,GIANT,CREME,ROAM
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,ONBEKEND,ZILVERKLEURIG,SPORTFIETS
